ÖNACE 2008;Industry sections and divisions;Enterprise births 2007;Enterprise births 2008;Enterprise births 2009;Enterprise births 2010;Enterprise births 2011;Enterprise births 2012;Enterprise births 2013;Enterprise births 2014;Enterprise births 2015;Enterprise births 2016;Enterprise births 2017;Enterprise births 2018
B05;Mining of coal and lignite  ;0;0;0;0;0;0;0;0;0;0;0;0
B06;Extraction of crude petroleum and natural gas  ;0;0;0;0;0;0;0;0;0;0;0;0
B07;Mining of metal ores  ;1;0;0;0;0;0;0;0;0;0;1;0
B08;Other mining and quarrying  ;9;11;18;7;9;9;7;4;2;3;4;4
B09;Mining support service activities  ;2;1;0;1;3;1;5;1;1;1;1;2
C10;Manufacture of food products  ;111;115;122;104;94;113;128;110;119;137;116;131
C11;Manufacture of beverages  ;11;19;12;14;19;17;22;13;23;17;19;24
C12;Manufacture of tobacco products  ;0;0;0;0;0;0;0;0;0;0;0;0
C13;Manufacture of textiles  ;27;31;26;20;32;24;18;11;19;16;16;18
C14;Manufacture of wearing apparel  ;32;29;41;35;45;51;45;30;43;34;29;34
C15;Manufacture of leather and related products  ;9;8;12;4;7;5;7;9;8;8;16;6
C17;Manufacture of paper and paper products  ;5;5;8;4;0;3;3;4;3;1;2;4
C18;Printing and reproduction of recorded media  ;36;34;37;33;32;34;36;28;14;23;22;24
C19;Manufacture of coke and refined petroleum products  ;0;0;0;1;0;1;0;1;0;0;0;0
C20;Manufacture of chemicals and chemical products  ;23;12;16;14;19;17;20;17;18;12;15;16
C21;Manufacture of basic pharmaceutical products and pharmaceutical preparations  ;4;3;2;4;3;1;4;7;5;10;3;6
C22;Manufacture of rubber and plastic products  ;26;30;21;20;17;13;21;11;19;15;18;11
C23;Manufacture of other non-metallic mineral products  ;63;49;53;45;58;42;41;36;40;36;40;42
C24;Manufacture of basic metals  ;4;6;12;6;8;4;5;5;2;0;10;0
C25;Manufacture of fabricated metal products, except machinery and equipment  ;230;182;181;141;155;157;112;169;112;128;117;127
C26;Manufacture of computer, electronic and optical products  ;37;31;20;21;30;34;34;23;15;23;23;26
C27;Manufacture of electrical equipment  ;13;25;25;19;17;17;20;19;17;13;23;16
C28;Manufacture of machinery and equipment n.e.c.  ;74;45;46;58;49;56;44;48;32;32;41;31
C29;Manufacture of motor vehicles, trailers and semi-trailers  ;10;17;11;15;15;6;14;12;8;4;10;11
C30;Manufacture of other transport equipment  ;7;2;4;7;9;7;5;4;4;7;6;6
C31;Manufacture of furniture  ;93;107;111;108;91;86;78;79;75;80;79;81
C32;Other manufacturing  ;74;70;67;79;72;68;75;60;62;75;62;73
